game_id,image_id,rep_num,displacement,prev_success
13,7,4,0.2832793593406677,True
13,7,5,0.0,True
13,7,6,0.0,True
13,8,2,0.5744248032569885,True
13,8,3,0.4160255193710327,True
13,8,4,0.2533046305179596,True
13,8,5,0.2533046305179596,True
13,8,6,0.0,True
13,9,2,0.7216666340827942,True
13,9,3,0.3916725218296051,True
13,9,4,0.617244303226471,True
13,9,5,0.41527217626571655,True
13,9,6,0.488035649061203,True
13,10,2,0.5188108682632446,True
13,10,3,0.6228600144386292,True
13,10,4,0.4335770606994629,True
13,10,5,0.0,True
13,10,6,0.0,True
13,11,2,0.6476192474365234,True
13,11,3,0.518619179725647,True
13,11,4,0.2996772825717926,True
13,11,5,0.0,True
13,11,6,0.0,True
14,0,2,0.39508068561553955,True
14,0,3,0.15701022744178772,True
14,0,4,0.2113509327173233,True
14,0,5,0.14163124561309814,True
14,0,6,0.14163124561309814,True
14,1,2,0.35485559701919556,True
14,1,3,0.0,True
14,1,4,0.0,True
14,1,5,0.0,True
14,1,6,0.0,True
14,2,2,0.0,True
14,2,3,0.3041733503341675,True
14,2,4,0.0,True
14,2,5,0.0,True
14,2,6,0.0,True
14,3,2,0.47181472182273865,True
14,3,3,0.26168540120124817,True
14,3,4,0.2688428461551666,True
14,3,5,0.0,True
14,3,6,0.0,True
14,4,2,0.3521200120449066,False
14,4,3,0.0,True
14,4,4,0.0,True
14,4,5,0.0,True
14,4,6,0.0,True
14,5,2,0.40796729922294617,True
14,5,3,0.45050308108329773,True
14,5,4,0.0,True
14,5,5,0.13344912230968475,True
14,5,6,0.0,True
14,6,2,0.33447644114494324,False
14,6,3,0.34740349650382996,True
14,6,4,0.30995047092437744,True
14,6,5,0.0,True
14,6,6,0.0,True
14,7,2,0.33075475692749023,False
14,7,3,0.3596494197845459,False
14,7,4,0.4020267128944397,True
14,7,5,0.20018664002418518,True
14,7,6,0.14232787489891052,True
14,8,2,0.41242676973342896,True
14,8,3,0.16730926930904388,True
14,8,4,0.48219072818756104,True
14,8,5,0.37372294068336487,True
14,8,6,0.2181064486503601,True
14,9,2,0.4104606509208679,True
14,9,3,0.0,True
14,9,4,0.0,True
14,9,5,0.16902773082256317,True
14,9,6,0.16902773082256317,True
14,10,2,0.6054049134254456,True
14,10,3,0.42771679162979126,True
14,10,4,0.25277385115623474,True
14,10,5,0.4492938816547394,True
14,10,6,0.0,True
